title,category,similarity
"Dry curry of cabbage, carrot and coconut (Thoran) ",Main course,9.395371450911984
Sweetcorn and coconut soup with sesame chicken ,Main course,8.748685521443416
Butter chicken curry and chapati,Main course,8.490066601703038
Simple chicken and potato curry,Main course,8.392356881417102
Caribbean chicken and pumpkin curry,Main course,8.374519448487296
Kerala king prawn and coconut curry,Main course,8.361094429517582
Chicken and aubergine massaman curry,Main course,8.06456805205174
Leftover chicken curry,Main course,7.116890883801938
Chicken curry with basmati rice,Main course,6.966100672555966
Slow cooker chicken curry,Main course,6.835769491369215
